Survived,Pclass,Fare,Sex_Numeric,Embarked_C,Embarked_S,"Fare_Category_(-0.001, 7.854]","Fare_Category_(41.579, 512.329]","Fare_Category_(7.854, 10.5]","Age_Category_(-0.08, 16.0]","Age_Category_(16.0, 32.0]",Pclass_1,Pclass_2,Pclass_3
0,3,7.25,1,0,1,1,0,0,0,1,0,0,1
1,1,71.2833,0,1,0,0,1,0,0,0,1,0,0
1,3,7.925,0,0,1,0,0,1,0,1,0,0,1
1,1,53.1,0,0,1,0,1,0,0,0,1,0,0
0,3,8.05,1,0,1,0,0,1,0,0,0,0,1
0,3,8.4583,1,0,0,0,0,1,0,1,0,0,1
0,1,51.8625,1,0,1,0,1,0,0,0,1,0,0
0,3,21.075,1,0,1,0,0,0,1,0,0,0,1
1,3,11.1333,0,0,1,0,0,0,0,1,0,0,1
1,2,30.0708,0,1,0,0,0,0,1,0,0,1,0
1,3,16.7,0,0,1,0,0,0,1,0,0,0,1
1,1,26.55,0,0,1,0,0,0,0,0,1,0,0
0,3,8.05,1,0,1,0,0,1,0,1,0,0,1
0,3,31.275,1,0,1,0,0,0,0,0,0,0,1
0,3,7.8542,0,0,1,1,0,0,1,0,0,0,1
1,2,16,0,0,1,0,0,0,0,0,0,1,0
0,3,29.125,1,0,0,0,0,0,1,0,0,0,1
1,2,13,1,0,1,0,0,0,0,1,0,1,0
0,3,18,0,0,1,0,0,0,0,1,0,0,1
1,3,7.225,0,1,0,1,0,0,0,1,0,0,1
0,2,26,1,0,1,0,0,0,0,0,0,1,0
1,2,13,1,0,1,0,0,0,0,0,0,1,0
1,3,8.0292,0,0,0,0,0,1,1,0,0,0,1
1,1,35.5,1,0,1,0,0,0,0,1,1,0,0
0,3,21.075,0,0,1,0,0,0,1,0,0,0,1
1,3,31.3875,0,0,1,0,0,0,0,0,0,0,1
0,3,7.225,1,1,0,1,0,0,0,1,0,0,1
0,1,263,1,0,1,0,1,0,0,1,1,0,0
1,3,7.8792,0,0,0,0,0,1,0,1,0,0,1
0,3,7.8958,1,0,1,0,0,1,0,1,0,0,1
0,1,27.7208,1,1,0,0,0,0,0,0,1,0,0
1,1,146.5208,0,1,0,0,1,0,0,0,1,0,0
1,3,7.75,0,0,0,1,0,0,0,1,0,0,1
0,2,10.5,1,0,1,0,0,1,0,0,0,1,0
0,1,82.1708,1,1,0,0,1,0,0,1,1,0,0
0,1,52,1,0,1,0,1,0,0,0,1,0,0
1,3,7.2292,1,1,0,1,0,0,0,1,0,0,1
0,3,8.05,1,0,1,0,0,1,0,1,0,0,1
0,3,18,0,0,1,0,0,0,0,1,0,0,1
1,3,11.2417,0,1,0,0,0,0,1,0,0,0,1
0,3,9.475,0,0,1,0,0,1,0,0,0,0,1
0,2,21,0,0,1,0,0,0,0,1,0,1,0
0,3,7.8958,1,1,0,0,0,1,0,1,0,0,1
1,2,41.5792,0,1,0,0,0,0,1,0,0,1,0
1,3,7.8792,0,0,0,0,0,1,0,1,0,0,1
0,3,8.05,1,0,1,0,0,1,0,1,0,0,1
0,3,15.5,1,0,0,0,0,0,0,1,0,0,1
1,3,7.75,0,0,0,1,0,0,0,1,0,0,1
0,3,21.6792,1,1,0,0,0,0,0,1,0,0,1
0,3,17.8,0,0,1,0,0,0,0,1,0,0,1
0,3,39.6875,1,0,1,0,0,0,1,0,0,0,1
0,3,7.8,1,0,1,1,0,0,0,1,0,0,1
1,1,76.7292,0,1,0,0,1,0,0,0,1,0,0
1,2,26,0,0,1,0,0,0,0,1,0,1,0
0,1,61.9792,1,1,0,0,1,0,0,0,1,0,0
1,1,35.5,1,0,1,0,0,0,0,0,1,0,0
1,2,10.5,0,0,1,0,0,1,0,1,0,1,0
0,3,7.2292,1,1,0,1,0,0,0,1,0,0,1
1,2,27.75,0,0,1,0,0,0,1,0,0,1,0
0,3,46.9,1,0,1,0,1,0,1,0,0,0,1
0,3,7.2292,1,1,0,1,0,0,0,1,0,0,1
1,1,80,0,0,1,0,1,0,0,0,1,0,0
0,1,83.475,1,0,1,0,1,0,0,0,1,0,0
0,3,27.9,1,0,1,0,0,0,1,0,0,0,1
0,1,27.7208,1,1,0,0,0,0,0,0,1,0,0
1,3,15.2458,1,1,0,0,0,0,0,1,0,0,1
1,2,10.5,0,0,1,0,0,1,0,1,0,1,0
0,3,8.1583,1,0,1,0,0,1,0,1,0,0,1
1,3,7.925,0,0,1,0,0,1,0,1,0,0,1
0,3,8.6625,1,0,1,0,0,1,0,1,0,0,1
0,2,10.5,1,0,1,0,0,1,0,1,0,1,0
0,3,46.9,0,0,1,0,1,0,1,0,0,0,1
0,2,73.5,1,0,1,0,1,0,0,1,0,1,0
0,3,14.4542,1,1,0,0,0,0,0,1,0,0,1
1,3,56.4958,1,0,1,0,1,0,0,1,0,0,1
0,3,7.65,1,0,1,1,0,0,0,1,0,0,1
0,3,7.8958,1,0,1,0,0,1,0,1,0,0,1
0,3,8.05,1,0,1,0,0,1,0,1,0,0,1
1,2,29,1,0,1,0,0,0,1,0,0,1,0
1,3,12.475,0,0,1,0,0,0,0,1,0,0,1
0,3,9,1,0,1,0,0,1,0,1,0,0,1
1,3,9.5,1,0,1,0,0,1,0,1,0,0,1
1,3,7.7875,0,0,0,1,0,0,0,1,0,0,1
0,1,47.1,1,0,1,0,1,0,0,1,1,0,0
1,2,10.5,0,0,1,0,0,1,0,1,0,1,0
1,3,15.85,0,0,1,0,0,0,0,0,0,0,1
0,3,34.375,1,0,1,0,0,0,1,0,0,0,1
0,3,8.05,1,0,1,0,0,1,0,1,0,0,1
1,1,263,0,0,1,0,1,0,0,1,1,0,0
0,3,8.05,1,0,1,0,0,1,0,1,0,0,1
0,3,8.05,1,0,1,0,0,1,0,1,0,0,1
0,3,7.8542,1,0,1,1,0,0,0,1,0,0,1
0,1,61.175,1,0,1,0,1,0,0,0,1,0,0
0,3,20.575,1,0,1,0,0,0,0,1,0,0,1
0,3,7.25,1,0,1,1,0,0,0,0,0,0,1
0,3,8.05,1,0,1,0,0,1,0,1,0,0,1
0,1,34.6542,1,1,0,0,0,0,0,0,1,0,0
1,1,63.3583,1,1,0,0,1,0,0,1,1,0,0
1,2,23,0,0,1,0,0,0,0,0,0,1,0
0,2,26,1,0,1,0,0,0,0,0,0,1,0
0,3,7.8958,0,0,1,0,0,1,0,1,0,0,1
0,3,7.8958,1,0,1,0,0,1,0,1,0,0,1
0,1,77.2875,1,0,1,0,1,0,0,1,1,0,0
0,3,8.6542,1,0,1,0,0,1,0,0,0,0,1
0,3,7.925,1,0,1,0,0,1,0,0,0,0,1
0,3,7.8958,1,0,1,0,0,1,0,1,0,0,1
1,3,7.65,0,0,1,1,0,0,0,1,0,0,1
1,3,7.775,1,0,1,1,0,0,0,1,0,0,1
0,3,7.8958,1,0,1,0,0,1,0,0,0,0,1
1,3,24.15,0,0,0,0,0,0,0,1,0,0,1
0,1,52,1,0,1,0,1,0,0,0,1,0,0
0,3,14.4542,0,1,0,0,0,0,1,0,0,0,1
0,3,8.05,1,0,1,0,0,1,0,1,0,0,1
0,3,9.825,0,0,1,0,0,1,0,1,0,0,1
0,3,14.4583,0,1,0,0,0,0,0,1,0,0,1
0,3,7.925,1,0,1,0,0,1,0,1,0,0,1
0,3,7.75,1,0,0,1,0,0,0,0,0,0,1
0,2,21,1,0,1,0,0,0,0,1,0,1,0
0,1,247.5208,1,1,0,0,1,0,0,1,1,0,0
0,3,31.275,0,0,1,0,0,0,1,0,0,0,1
0,2,73.5,1,0,1,0,1,0,0,1,0,1,0
0,3,8.05,1,0,1,0,0,1,0,1,0,0,1
0,2,30.0708,1,1,0,0,0,0,0,1,0,1,0
1,2,13,0,0,1,0,0,0,0,1,0,1,0
0,1,77.2875,1,0,1,0,1,0,0,0,1,0,0
1,3,11.2417,1,1,0,0,0,0,1,0,0,0,1
0,3,7.75,1,0,0,1,0,0,0,1,0,0,1
1,3,7.1417,1,0,1,1,0,0,0,1,0,0,1
1,3,22.3583,0,1,0,0,0,0,0,1,0,0,1
0,3,6.975,1,0,1,1,0,0,0,0,0,0,1
0,3,7.8958,1,1,0,0,0,1,0,0,0,0,1
0,3,7.05,1,0,1,1,0,0,0,1,0,0,1
0,3,14.5,0,0,1,0,0,0,0,0,0,0,1
1,2,26,0,0,1,0,0,0,0,1,0,1,0
0,2,13,1,0,1,0,0,0,0,1,0,1,0
0,2,15.0458,1,1,0,0,0,0,0,1,0,1,0
1,1,26.2833,0,0,1,0,0,0,0,1,1,0,0
0,1,53.1,1,0,1,0,1,0,0,0,1,0,0
0,3,9.2167,1,0,1,0,0,1,1,0,0,0,1
0,1,79.2,1,1,0,0,1,0,0,1,1,0,0
0,3,15.2458,0,1,0,0,0,0,0,1,0,0,1
1,3,7.75,0,0,1,1,0,0,0,1,0,0,1
1,3,15.85,0,0,1,0,0,0,0,1,0,0,1
0,3,6.75,1,0,0,1,0,0,0,1,0,0,1
0,2,11.5,1,0,1,0,0,0,0,1,0,1,0
0,2,36.75,1,0,1,0,0,0,0,1,0,1,0
1,3,7.7958,1,0,1,1,0,0,0,1,0,0,1
0,3,34.375,0,0,1,0,0,0,1,0,0,0,1
0,2,26,1,0,1,0,0,0,0,0,0,1,0
0,2,13,1,0,1,0,0,0,0,0,0,1,0
0,2,12.525,1,0,1,0,0,0,0,0,0,1,0
1,1,66.6,0,0,1,0,1,0,0,1,1,0,0
0,3,8.05,1,0,1,0,0,1,0,0,0,0,1
0,3,14.5,1,0,1,0,0,0,0,0,0,0,1
0,3,7.3125,1,0,1,1,0,0,0,1,0,0,1
0,1,61.3792,1,1,0,0,1,0,0,0,1,0,0
1,3,7.7333,0,0,0,1,0,0,1,0,0,0,1
0,3,8.05,1,0,1,0,0,1,0,1,0,0,1
0,3,8.6625,1,0,1,0,0,1,0,1,0,0,1
0,3,69.55,1,0,1,0,1,0,0,1,0,0,1
0,3,16.1,1,0,1,0,0,0,0,0,0,0,1
1,2,15.75,0,0,1,0,0,0,0,0,0,1,0
0,3,7.775,1,0,1,1,0,0,0,1,0,0,1
0,3,8.6625,1,0,1,0,0,1,0,1,0,0,1
0,3,39.6875,1,0,1,0,0,0,1,0,0,0,1
1,3,20.525,1,0,1,0,0,0,1,0,0,0,1
1,1,55,0,0,1,0,1,0,0,0,1,0,0
0,3,27.9,0,0,1,0,0,0,0,0,0,0,1
0,1,25.925,1,0,1,0,0,0,0,0,1,0,0
0,3,56.4958,1,0,1,0,1,0,0,1,0,0,1
0,1,33.5,1,0,1,0,0,0,0,0,1,0,0
0,3,29.125,1,0,0,0,0,0,1,0,0,0,1
1,3,11.1333,0,0,1,0,0,0,1,0,0,0,1
0,3,7.925,1,0,1,0,0,1,0,1,0,0,1
0,1,30.6958,1,1,0,0,0,0,0,0,1,0,0
0,3,7.8542,1,0,1,1,0,0,0,1,0,0,1
0,3,25.4667,1,0,1,0,0,0,0,1,0,0,1
0,1,28.7125,0,1,0,0,0,0,0,0,1,0,0
0,2,13,1,0,1,0,0,0,0,1,0,1,0
0,3,0,1,0,1,1,0,0,0,0,0,0,1
0,3,69.55,0,0,1,0,1,0,0,1,0,0,1
0,2,15.05,1,1,0,0,0,0,0,1,0,1,0
0,3,31.3875,1,0,1,0,0,0,1,0,0,0,1
1,2,39,1,0,1,0,0,0,1,0,0,1,0
1,3,22.025,0,0,1,0,0,0,1,0,0,0,1
0,1,50,1,0,1,0,1,0,0,0,1,0,0
1,3,15.5,0,0,0,0,0,0,0,1,0,0,1
1,1,26.55,1,0,1,0,0,0,0,0,1,0,0
0,3,15.5,1,0,0,0,0,0,0,0,0,0,1
0,3,7.8958,1,0,1,0,0,1,0,0,0,0,1
1,2,13,0,0,1,0,0,0,0,1,0,1,0
0,2,13,1,0,1,0,0,0,0,1,0,1,0
1,3,7.8542,0,0,1,1,0,0,0,1,0,0,1
1,2,26,1,0,1,0,0,0,1,0,0,1,0
1,1,27.7208,0,1,0,0,0,0,0,0,1,0,0
1,1,146.5208,0,1,0,0,1,0,0,0,1,0,0
0,3,7.75,1,0,0,1,0,0,0,1,0,0,1
0,3,8.4042,1,0,1,0,0,1,0,0,0,0,1
1,3,7.75,0,0,0,1,0,0,0,1,0,0,1
0,2,13,0,0,1,0,0,0,0,1,0,1,0
0,3,9.5,1,0,1,0,0,1,0,1,0,0,1
0,3,69.55,1,0,1,0,1,0,0,1,0,0,1
0,3,6.4958,1,0,1,1,0,0,0,0,0,0,1
0,3,7.225,1,1,0,1,0,0,0,0,0,0,1
1,3,8.05,1,0,1,0,0,1,0,1,0,0,1
0,3,10.4625,0,0,1,0,0,1,1,0,0,0,1
0,3,15.85,1,0,1,0,0,0,0,1,0,0,1
1,3,18.7875,1,1,0,0,0,0,0,1,0,0,1
1,3,7.75,0,0,0,1,0,0,1,0,0,0,1
1,1,31,1,1,0,0,0,0,0,0,1,0,0
0,3,7.05,1,0,1,1,0,0,0,1,0,0,1
1,2,21,0,0,1,0,0,0,0,0,0,1,0
0,3,7.25,1,0,1,1,0,0,0,1,0,0,1
0,2,13,1,0,1,0,0,0,0,1,0,1,0
0,3,7.75,1,0,0,1,0,0,0,1,0,0,1
1,1,113.275,0,1,0,0,1,0,0,1,1,0,0
1,3,7.925,0,0,1,0,0,1,0,1,0,0,1
0,2,27,1,0,1,0,0,0,0,0,0,1,0
1,1,76.2917,0,1,0,0,1,0,0,1,1,0,0
0,2,10.5,1,0,1,0,0,1,0,1,0,1,0
1,3,8.05,1,0,1,0,0,1,1,0,0,0,1
0,2,13,1,0,1,0,0,0,0,1,0,1,0
0,3,8.05,1,0,1,0,0,1,0,0,0,0,1
0,3,7.8958,1,0,1,0,0,1,0,1,0,0,1
1,1,90,1,0,1,0,1,0,0,0,1,0,0
0,3,9.35,1,0,1,0,0,1,0,1,0,0,1
1,2,10.5,1,0,1,0,0,1,0,1,0,1,0
0,3,7.25,1,0,1,1,0,0,0,1,0,0,1
0,2,13,1,0,1,0,0,0,0,1,0,1,0
0,3,25.4667,0,0,1,0,0,0,0,1,0,0,1
1,1,83.475,0,0,1,0,1,0,0,0,1,0,0
0,3,7.775,1,0,1,1,0,0,0,1,0,0,1
0,2,13.5,1,0,1,0,0,0,0,0,0,1,0
1,3,31.3875,0,0,1,0,0,0,1,0,0,0,1
0,2,10.5,1,0,1,0,0,1,0,1,0,1,0
0,3,7.55,0,0,1,1,0,0,0,1,0,0,1
0,2,26,1,0,1,0,0,0,0,0,0,1,0
1,2,26.25,0,0,1,0,0,0,1,0,0,1,0
0,2,10.5,1,0,1,0,0,1,0,1,0,1,0
0,2,12.275,1,0,1,0,0,0,0,0,0,1,0
0,3,14.4542,0,1,0,0,0,0,0,1,0,0,1
1,3,15.5,0,0,0,0,0,0,0,1,0,0,1
0,2,10.5,1,0,1,0,0,1,0,1,0,1,0
0,3,7.125,1,0,1,1,0,0,0,1,0,0,1
0,3,7.225,1,1,0,1,0,0,0,1,0,0,1
0,1,90,1,0,0,0,1,0,0,0,1,0,0
0,3,7.775,0,0,1,1,0,0,0,1,0,0,1
1,2,14.5,0,0,1,0,0,0,0,1,0,1,0
1,1,52.5542,1,0,1,0,1,0,0,0,1,0,0
0,2,26,1,0,1,0,0,0,0,0,0,1,0
0,3,7.25,1,0,1,1,0,0,0,1,0,0,1
0,3,10.4625,0,0,1,0,0,1,0,1,0,0,1
0,1,26.55,1,0,1,0,0,0,0,0,1,0,0
0,3,16.1,1,0,1,0,0,0,0,1,0,0,1
0,3,20.2125,0,0,1,0,0,0,0,0,0,0,1
1,3,15.2458,0,1,0,0,0,0,0,1,0,0,1
1,1,79.2,0,1,0,0,1,0,0,0,1,0,0
1,1,86.5,0,0,1,0,1,0,0,1,1,0,0
1,1,512.3292,0,1,0,0,1,0,0,0,1,0,0
1,2,26,0,0,1,0,0,0,0,0,0,1,0
0,3,7.75,1,0,0,1,0,0,0,1,0,0,1
1,3,31.3875,1,0,1,0,0,0,1,0,0,0,1
0,1,79.65,1,0,1,0,1,0,0,0,1,0,0
0,1,0,1,0,1,1,0,0,0,0,1,0,0
0,3,7.75,0,0,0,1,0,0,0,1,0,0,1
0,2,10.5,1,0,1,0,0,1,0,0,0,1,0
0,3,39.6875,1,0,1,0,0,0,1,0,0,0,1
1,3,7.775,1,0,1,1,0,0,0,1,0,0,1
1,1,153.4625,0,0,1,0,1,0,0,0,1,0,0
1,1,135.6333,0,0,1,0,1,0,0,0,1,0,0
0,1,31,1,0,1,0,0,0,0,0,1,0,0
1,3,0,1,0,1,1,0,0,0,1,0,0,1
1,2,19.5,0,0,1,0,0,0,0,0,0,1,0
0,1,29.7,1,1,0,0,0,0,0,0,1,0,0
1,3,7.75,0,0,0,1,0,0,0,1,0,0,1
1,1,77.9583,0,0,1,0,1,0,0,0,1,0,0
0,3,7.75,0,0,1,1,0,0,0,0,0,0,1
0,2,0,1,0,1,1,0,0,0,1,0,1,0
0,3,29.125,1,0,0,0,0,0,1,0,0,0,1
1,3,20.25,0,0,1,0,0,0,0,0,0,0,1
0,3,7.75,1,0,0,1,0,0,0,0,0,0,1
0,3,7.8542,1,0,1,1,0,0,0,1,0,0,1
0,3,9.5,1,0,1,0,0,1,1,0,0,0,1
1,3,8.05,1,0,1,0,0,1,0,1,0,0,1
0,1,26,1,0,1,0,0,0,0,0,1,0,0
0,3,8.6625,1,1,0,0,0,1,0,0,0,0,1
1,3,9.5,1,0,1,0,0,1,0,1,0,0,1
0,3,7.8958,1,0,1,0,0,1,0,1,0,0,1
1,2,13,1,0,1,0,0,0,0,0,0,1,0
1,3,7.75,0,0,0,1,0,0,0,1,0,0,1
1,1,78.85,0,0,1,0,1,0,0,1,1,0,0
1,1,91.0792,0,1,0,0,1,0,0,1,1,0,0
